id,data,horas,dia,observção,Intervalo,Dias,Odometro Inicial,Odometro Final,Km percorridos,Km Acumulado,,,Média,,,,,,,,,,,,,,,,
1977,24/08/24,0:00:00,sábado,,1,1,"8,50","11,50","3,00","3,00",,,,,,,,,,,,,,,,,,,
1978,25/08/24,0:00:00,domingo,,1,2,"11,50","19,70","8,20","11,20",,,,,,,,,,,,,,,,,,,
1979,26/08/24,0:00:00,segunda,,1,3,"19,70","27,90","8,20","19,40",,,,,,,,,,,,,,,,,,,
1980,27/08/24,0:00:00,terça,,1,4,"27,90","40,50","12,60","32,00",,,,,,,,,,,,,,,,,,,
1981,28/08/24,0:00:00,quarta,Nícolas faltou aula no SESC,1,5,"40,50","49,20","8,70","40,70",,,,,,,,,,,,,,,,,,,
1982,29/08/24,0:00:00,quinta,Nícolas faltou aula no SESC,1,6,"49,20","53,30","4,10","44,80",,,,,,,,,,,,,,,,,,,
1983,30/08/24,0:00:00,sexta,,1,7,"53,30","66,60","13,30","58,10",,,,,,,,,,,,,,,,,,,
1984,31/08/24,0:00:00,sábado,,1,8,"66,60","69,00","2,40","60,50",,,,,,,,,,,,,,,,,,,
1985,01/09/24,0:00:00,domingo,,1,9,"69,00","69,00","0,00","60,50",,,,,,,,,,,,,,,,,,,
1986,02/09/24,0:00:00,segunda,Nícolas faltou aula no SESC,1,10,"69,00","73,40","4,40","64,90",,,,,,,,,,,,,,,,,,,
1987,03/09/24,0:00:00,terça,Nícolas faltou aula no SESC,1,11,"73,40","80,40","7,00","71,90",,,,,,,,,,,,,,,,,,,
1988,04/09/24,0:00:00,quarta,Nícolas faltou aula no SESC,1,12,"80,40","89,30","8,90","80,80",,,,,,,,,,,,,,,,,,,
1989,05/09/24,0:00:00,quinta,,1,13,"89,30","102,60","13,30","94,10",,,,,,,,,,,,,,,,,,,
1990,06/09/24,0:00:00,sexta,,1,14,"102,60","114,30","11,70","105,80",,,,,,,,,,,,,,,,,,,
1991,07/09/24,0:00:00,sábado,,1,15,"114,30","114,30","0,00","105,80",,,,,,,,,,,,,,,,,,,
1992,08/09/24,0:00:00,domingo,,1,16,"114,30","120,20","5,90","111,70",,,,,,,,,,,,,,,,,,,
1993,09/09/24,0:00:00,segunda,,1,17,"120,20","130,70","10,50","122,20",,,,,,,,,,,,,,,,,,,
1994,10/09/24,0:00:00,terça,,1,18,"130,70","141,60","10,90","133,10",,,,,,,,,,,,,,,,,,,
1995,11/09/24,0:00:00,quarta,,1,19,"141,60","141,60","0,00","133,10",,,,,,,,,,,,,,,,,,,
1996,12/09/24,0:00:00,quinta,,1,20,"141,60","155,10","13,50","146,60",,,,,,,,,,,,,,,,,,,
1997,13/09/24,0:00:00,sexta,,1,21,"155,10","170,50","15,40","162,00",,,,,,,,,,,,,,,,,,,
1998,14/09/24,0:00:00,sábado,,1,22,"170,50","175,70","5,20","167,20",,,,,,,,,,,,,,,,,,,
1999,15/09/24,0:00:00,domingo,,1,23,"175,70","179,00","3,30","170,50",,,,,,,,,,,,,,,,,,,
2000,16/09/24,0:00:00,segunda,,1,24,"179,00","188,10","9,10","179,60",,,,,,,,,,,,,,,,,,,
